id,date,platform,text
1,2024-01-01,Twitter,I absolutely love this new feature! It makes everything so much easier.
2,2024-01-02,Instagram,Today was okay. Nothing special happened.
3,2024-01-03,Twitter,This is the worst update they have ever released. Completely broken.
4,2024-01-04,Facebook,Just had the most amazing coffee this morning. Feeling great!
5,2024-01-05,Twitter,Not sure how I feel about this change. It's different I guess.
6,2024-01-06,Instagram,Absolutely thrilled with my new purchase. Best decision ever!
7,2024-01-07,Facebook,The service was terrible and the staff were rude. Never going back.
8,2024-01-08,Twitter,Had a pretty normal day. Went to work and came home.
9,2024-01-09,Instagram,This product is life changing! I cannot recommend it enough.
10,2024-01-10,Twitter,Disappointed with the lack of updates. Feels abandoned.
11,2024-01-11,Facebook,Beautiful day outside! Took a long walk and felt wonderful.
12,2024-01-12,Twitter,Nothing works as expected. Frustrated beyond belief.
13,2024-01-13,Instagram,Meh. It is what it is I suppose.
14,2024-01-14,Facebook,Grateful for all the support from my friends and family today.
15,2024-01-15,Twitter,Worst experience of my life. Avoid at all costs.
16,2024-01-16,Instagram,Really enjoying the new season of my favorite show!
17,2024-01-17,Twitter,The update was fine. Does what it says.
18,2024-01-18,Facebook,So happy to announce some exciting news coming soon!
19,2024-01-19,Twitter,This is beyond frustrating. Nothing ever improves.
20,2024-01-20,Instagram,Lovely evening with good food and great company. Couldn't ask for more.